field,m,angle,distance,relerr_offset,relerr_abs,mag
phis,0,0.523599,1.778279e-08,0.000000e+00,1.116752e-08,1.104232e+07
phis,0,0.523599,3.162278e-08,1.499822e-16,7.188014e-09,6.209554e+06
phis,0,0.523599,5.623413e-08,1.333551e-16,1.224898e-09,3.491889e+06
phis,0,0.523599,1.000000e-07,1.185713e-16,1.630979e-09,1.963633e+06
phis,0,0.523599,1.778279e-07,0.000000e+00,1.122644e-09,1.104232e+06
phis,0,0.523599,3.162278e-07,1.874778e-16,5.155878e-10,6.209554e+05
phis,0,0.523599,5.623413e-07,1.666939e-16,2.007547e-10,3.491889e+05
phis,0,0.523599,1.000000e-06,1.482142e-16,1.552804e-10,1.963633e+05
phis,0,0.523599,1.778279e-06,3.953494e-16,3.502519e-11,1.104232e+05
phis,0,0.523599,3.162278e-06,1.171736e-16,2.528841e-12,6.209553e+04
phis,0,0.523599,5.623413e-06,2.083674e-16,1.333135e-12,3.491888e+04
phis,0,0.523599,1.000000e-05,0.000000e+00,4.679679e-12,1.963633e+04
phis,0,0.523599,1.778279e-05,0.000000e+00,3.505763e-12,1.104231e+04
phis,0,0.523599,3.162278e-05,1.464672e-16,2.145451e-12,6.209546e+03
phis,0,0.523599,5.623413e-05,3.906898e-16,1.021654e-12,3.491881e+03
phis,0,0.523599,1.000000e-04,4.631712e-16,1.877349e-12,1.963625e+03
phis,0,0.523599,1.778279e-04,0.000000e+00,9.801441e-13,1.104224e+03
phis,0,0.523599,3.162278e-04,1.830862e-16,3.251610e-13,6.209472e+02
phis,0,0.523599,5.623413e-04,1.627908e-16,1.289303e-13,3.491807e+02
phis,0,0.523599,1.000000e-03,2.894928e-16,1.152182e-13,1.963552e+02
phis,0,0.523599,1.778279e-03,2.574079e-16,1.737503e-14,1.104151e+02
phis,0,0.523599,3.162278e-03,3.433271e-16,1.625082e-14,6.208738e+01
phis,0,0.523599,5.623413e-03,2.035313e-16,2.686613e-14,3.491073e+01
phis,0,0.523599,1.000000e-02,3.620013e-16,2.262508e-14,1.962818e+01
phis,0,0.523599,1.778279e-02,3.219735e-16,8.854272e-15,1.103418e+01
phis,0,0.523599,3.162278e-02,1.432217e-16,3.723763e-15,6.201425e+00
phis,0,0.523599,5.623413e-02,0.000000e+00,2.676938e-15,3.483784e+00
phis,0,0.523599,1.000000e-01,5.677237e-16,4.541790e-16,1.955569e+00
phis,0,0.523599,1.778279e-01,0.000000e+00,4.051025e-16,1.096239e+00
phis,0,0.523599,3.162278e-01,1.810889e-16,7.243554e-16,6.130819e-01
phis,0,0.523599,5.623413e-01,1.625474e-16,1.625474e-16,3.415074e-01
phis,0,0.523599,1.000000e+00,1.468878e-16,1.468878e-16,1.889577e-01
phis,0,1.047198,1.000000e-12,0.000000e+00,6.613644e-05,1.152310e+11
phis,0,1.047198,1.778279e-12,2.354782e-16,4.662259e-05,6.479914e+10
phis,0,1.047198,3.162278e-12,0.000000e+00,3.056858e-05,3.643924e+10
phis,0,1.047198,5.623413e-12,1.861619e-16,1.789310e-05,2.049129e+10
phis,0,1.047198,1.000000e-11,4.965718e-16,7.722773e-06,1.152310e+10
phis,0,1.047198,1.778279e-11,2.943478e-16,5.843652e-07,6.479914e+09
phis,0,1.047198,3.162278e-11,1.308582e-16,1.263343e-06,3.643924e+09
phis,0,1.047198,5.623413e-11,4.654048e-16,5.301585e-07,2.049129e+09
phis,0,1.047198,1.000000e-10,4.138098e-16,5.035734e-07,1.152310e+09
phis,0,1.047198,1.778279e-10,1.839674e-16,2.538162e-07,6.479914e+08
phis,0,1.047198,3.162278e-10,1.635727e-16,3.515349e-07,3.643924e+08
phis,0,1.047198,5.623413e-10,1.454390e-16,2.067708e-07,2.049129e+08
phis,0,1.047198,1.000000e-09,2.586312e-16,8.057421e-08,1.152310e+08
phis,0,1.047198,1.778279e-09,5.748981e-16,4.161816e-08,6.479914e+07
phis,0,1.047198,3.162278e-09,0.000000e+00,3.785407e-08,3.643924e+07
phis,0,1.047198,5.623413e-09,3.635975e-16,2.025725e-08,2.049129e+07
phis,0,1.047198,1.000000e-08,6.465779e-16,3.973883e-09,1.152310e+07
phis,0,1.047198,1.778279e-08,0.000000e+00,1.954370e-10,6.479914e+06
phis,0,1.047198,3.162278e-08,1.277912e-16,2.517847e-09,3.643924e+06
phis,0,1.047198,5.623413e-08,0.000000e+00,2.184213e-09,2.049129e+06
phis,0,1.047198,1.000000e-07,4.041112e-16,1.126621e-09,1.152310e+06
phis,0,1.047198,1.778279e-07,1.796556e-16,1.351258e-10,6.479914e+05
phis,0,1.047198,3.162278e-07,1.597390e-16,4.388573e-11,3.643924e+05
phis,0,1.047198,5.623413e-07,1.420303e-16,1.122002e-10,2.049129e+05
phis,0,1.047198,1.000000e-06,3.788542e-16,6.119696e-11,1.152310e+05
phis,0,1.047198,1.778279e-06,2.245696e-16,2.459767e-11,6.479914e+04
phis,0,1.047198,3.162278e-06,0.000000e+00,3.221137e-11,3.643923e+04
phis,0,1.047198,5.623413e-06,3.550757e-16,1.356425e-11,2.049129e+04
phis,0,1.047198,1.000000e-05,1.578560e-16,5.721174e-12,1.152310e+04
phis,0,1.047198,1.778279e-05,1.403560e-16,1.235133e-14,6.479912e+03
phis,0,1.047198,3.162278e-05,2.495923e-16,1.308363e-12,3.643921e+03
